date,parse_ok,segment,variant,inflation,growth,credit_stress,policy,risk_appetite
2023-05-01,True,replayed_v1,nonpit_diagnostic,0.41000000,-1.00000000,0.20000000,-0.50000000,-0.60000000
2023-06-01,True,replayed_v1,nonpit_diagnostic,0.10000000,0.33000000,0.90000000,-0.80000000,-0.50000000
2023-07-03,True,replayed_v1,nonpit_diagnostic,-0.30000000,-0.30000000,1.00000000,-0.70000000,-0.70000000
2023-08-01,True,replayed_v1,nonpit_diagnostic,-0.22000000,-0.52000000,1.00000000,1.00000000,-0.80000000
2023-09-01,True,replayed_v1,nonpit_diagnostic,-0.05000000,0.40000000,0.80000000,-0.10000000,-0.40000000
2023-10-02,True,replayed_v1,nonpit_diagnostic,-0.05000000,-0.30000000,0.80000000,-0.70000000,-0.40000000
2023-11-01,True,replayed_v1,nonpit_diagnostic,-0.26000000,-0.68000000,0.04000000,0.47000000,0.43000000
2023-12-01,True,replayed_v1,nonpit_diagnostic,-0.31000000,-0.49000000,-0.92000000,0.31000000,0.57000000
2024-01-02,True,replayed_v1,nonpit_diagnostic,-0.25000000,0.89000000,-0.89000000,-0.88000000,0.73000000
2024-02-01,True,replayed_v1,nonpit_diagnostic,-0.35000000,-0.76000000,-0.68000000,-0.50000000,-0.60000000
2024-03-01,True,replayed_v1,nonpit_diagnostic,-0.34000000,-0.90000000,-0.95000000,-0.91000000,-0.80000000
2024-04-01,True,replayed_v1,nonpit_diagnostic,-0.22000000,-1.00000000,-0.89000000,-0.89000000,-0.50000000
2024-05-01,True,replayed_v1,nonpit_diagnostic,-0.28000000,-0.81000000,-1.00000000,-0.81000000,-0.91000000
2024-06-03,True,replayed_v1,nonpit_diagnostic,-0.34000000,-0.83000000,-0.97000000,-0.65000000,-0.74000000
2024-07-01,True,replayed_v1,nonpit_diagnostic,-0.45000000,0.94000000,-0.94000000,-0.77000000,-0.50000000
2024-08-01,True,replayed_v1,nonpit_diagnostic,-0.48000000,-0.54000000,-0.89000000,0.54000000,0.28000000
2024-09-02,True,replayed_v1,nonpit_diagnostic,-0.60000000,0.50000000,-0.70000000,-0.40000000,0.60000000
2024-10-01,True,replayed_v1,nonpit_diagnostic,-0.70000000,-0.03000000,-1.00000000,0.30000000,0.70000000
2024-11-01,True,replayed_v1,nonpit_diagnostic,-0.64000000,-1.00000000,-0.07000000,-0.07000000,0.64000000
2024-12-02,True,replayed_v1,nonpit_diagnostic,-0.60000000,-0.20000000,-1.00000000,-0.10000000,0.70000000
2025-01-02,True,live_ext2026,nonpit_diagnostic,-0.54000000,0.24000000,-1.00000000,0.24000000,0.80000000
2025-02-03,True,live_ext2026,nonpit_diagnostic,-0.49000000,0.40000000,-1.00000000,0.28000000,0.20000000
2025-03-03,True,live_ext2026,nonpit_diagnostic,-0.57000000,-1.00000000,0.12000000,0.12000000,-0.60000000
2025-04-01,True,live_ext2026,nonpit_diagnostic,-0.75000000,-0.45000000,-0.25000000,0.25000000,-0.30000000
2025-05-01,True,live_ext2026,nonpit_diagnostic,-0.80000000,0.58000000,-0.58000000,-0.80000000,0.58000000
2025-06-02,True,live_ext2026,nonpit_diagnostic,-0.81000000,-0.68000000,0.51000000,-0.40000000,-0.20000000
2025-07-01,True,live_ext2026,nonpit_diagnostic,-0.71000000,0.51000000,-1.00000000,0.50000000,-0.50000000
2025-08-01,True,live_ext2026,nonpit_diagnostic,-0.70000000,0.40000000,-0.80000000,-0.40000000,0.50000000
2025-09-01,True,live_ext2026,nonpit_diagnostic,-0.64000000,-1.00000000,0.68000000,-0.50000000,-0.30000000
2025-10-01,True,live_ext2026,nonpit_diagnostic,-0.50000000,0.46000000,-1.00000000,-0.02000000,0.73000000
2025-11-03,True,live_ext2026,nonpit_diagnostic,-0.62000000,0.57000000,-1.00000000,0.57000000,1.00000000
2025-12-01,True,live_ext2026,nonpit_diagnostic,-0.69000000,-0.86000000,0.56000000,-1.00000000,-0.56000000
2026-01-02,True,live_ext2026,nonpit_diagnostic,-0.71000000,-1.00000000,0.80000000,0.80000000,-0.80000000
2026-02-02,True,live_ext2026,nonpit_diagnostic,-0.80000000,0.70000000,-0.90000000,0.80000000,0.60000000
2026-03-02,True,live_ext2026,nonpit_diagnostic,-0.90000000,0.67000000,-0.67000000,0.67000000,-0.67000000
2026-04-01,True,live_ext2026,nonpit_diagnostic,-0.60000000,-0.45000000,-0.60000000,-0.30000000,0.60000000
2026-05-01,True,live_ext2026,nonpit_diagnostic,-0.60000000,0.60000000,-0.45000000,0.60000000,0.70000000
2026-06-01,True,live_ext2026,nonpit_diagnostic,-0.60000000,0.30000000,0.60000000,0.40000000,0.45000000
