rebalance_date,macro_source_date,configuration,evidence_id,prompt_mode,guard_enabled,p_memorized,parse_ok,steered,conviction,cpi_yoy_z,t10y2y_z,hy_oas_z,macro_state_norm,loading_inflation,loading_growth,loading_credit_stress,loading_policy,loading_risk_appetite,raw_view_tilt,applied_view_tilt,expected_attenuation,observed_attenuation,relation_error,allocation_status,bl_fallback_reason,target_effective_date,target_reconstruction_error,raw_tilt_SWDA_L,raw_tilt_XLK,raw_tilt_IAU,raw_tilt_BIL,applied_tilt_SWDA_L,applied_tilt_XLK,applied_tilt_IAU,applied_tilt_BIL,bl_q_SWDA_L,bl_q_XLK,bl_q_IAU,bl_q_BIL,hrp_base_weight_SWDA_L,hrp_base_weight_XLK,hrp_base_weight_IAU,hrp_base_weight_BIL,bl_weight_SWDA_L,bl_weight_XLK,bl_weight_IAU,bl_weight_BIL,target_weight_SWDA_L,target_weight_XLK,target_weight_IAU,target_weight_BIL,target_delta_SWDA_L,target_delta_XLK,target_delta_IAU,target_delta_BIL
2019-11-01,2019-10-31,factor_pit_ext2026,0f6d91fd76f3ecd31c068adf2f7354f648cf97a608ec067f5c02a986496ddf8f,pit,True,0.07019225,True,True,0.57314920,0.25413906,-1.31977011,-0.40208469,1.40287273,0.25000000,-0.90000000,-0.40000000,0.50000000,-0.60000000,4.43000000,4.11904832,0.92980775,0.92980775,0.00000000,bl_blend_applied,,2019-11-01,0.00000000,-1.16500000,-1.50000000,0.63000000,1.13500000,-1.08322603,-1.39471162,0.58577888,1.05533179,-0.00246369,-0.00317213,0.00133230,0.00240025,0.19128260,0.12033726,0.43838014,0.25000000,0.00000000,0.00000001,0.85890309,0.14109689,0.13389782,0.08423609,0.56453702,0.21732907,-0.05738478,-0.03610117,0.12615689,-0.03267093
2019-12-02,2019-11-30,factor_pit_ext2026,061bfba3cf79a2710f4c7eb63d82a26fefd9e580b06519c6d6b7346357eb7843,pit,True,0.40950246,True,True,0.64807407,0.64689240,-1.28647506,-0.50544679,1.52609447,0.60000000,-0.50000000,0.80000000,0.70000000,-0.60000000,7.63000000,4.50549622,0.59049754,0.59049754,0.00000000,bl_blend_applied,,2019-12-02,0.00000000,-1.89000000,-2.25000000,1.61000000,1.88000000,-1.11604035,-1.32861946,0.95070104,1.11013537,-0.00287015,-0.00341684,0.00244494,0.00285496,0.18984748,0.11956017,0.44059234,0.25000000,0.00000000,0.00000000,0.99999998,0.00000002,0.13289324,0.08369212,0.60841463,0.17500000,-0.05695424,-0.03586805,0.16782229,-0.07500000
2020-01-02,2019-12-31,factor_pit_ext2026,ef57a2d96c4e1ba3419f7b5a4317a211b48725cc1b578f031f2c74c5133624cc,pit,True,0.44463788,True,True,0.77136243,0.87680668,-0.90533675,-0.84764132,1.51885496,0.88000000,-0.91000000,-0.85000000,-0.40000000,-0.70000000,3.18000000,1.76605153,0.55536212,0.55536212,0.00000000,bl_blend_applied,,2020-01-02,0.00000000,-0.79400000,-1.20300000,0.78300000,0.40000000,-0.44095752,-0.66810063,0.43484854,0.22214485,-0.00134975,-0.00204503,0.00133105,0.00067998,0.18970716,0.11975724,0.44053559,0.25000000,0.00000000,0.00000000,1.00000000,0.00000000,0.13279501,0.08383007,0.60837491,0.17500000,-0.05691215,-0.03592717,0.16783932,-0.07500000
2020-02-03,2020-01-31,factor_pit_ext2026,2188d8101e3f2fd8cd4bbf94046edf1891106e65dfb15adadedc50ed8fc29158,pit,True,0.09316215,True,True,0.61644140,1.17338188,-1.19802547,-0.45610526,1.73784984,0.80000000,-0.70000000,-0.40000000,0.60000000,-0.50000000,4.85000000,4.39816356,0.90683785,0.90683785,0.00000000,bl_blend_applied,,2020-02-03,0.00000000,-1.10000000,-1.60000000,0.95000000,1.20000000,-0.99752163,-1.45094055,0.86149595,1.08820542,-0.00244013,-0.00354929,0.00210739,0.00266196,0.18765620,0.11860522,0.44373858,0.25000000,0.00000000,0.00000001,0.99999992,0.00000007,0.13135934,0.08302366,0.61061698,0.17500002,-0.05629686,-0.03558156,0.16687840,-0.07499998
2020-03-02,2020-02-29,factor_pit_ext2026,cbdafc981b0ba23e66808d28352535758315c493d4a9fffa8e62265361e95c42,pit,True,0.00000542,True,True,0.74027022,0.84611810,-0.97829809,0.43219149,1.36373475,0.80000000,0.40000000,0.90000000,0.70000000,-0.80000000,6.11000000,6.10996690,0.99999458,0.99999458,0.00000000,bl_blend_applied,,2020-03-02,0.00000000,-1.25000000,-1.70000000,1.58000000,1.58000000,-1.24999323,-1.69999079,1.57999144,1.57999144,-0.00367196,-0.00499386,0.00464135,0.00464135,0.18532372,0.11900408,0.44567220,0.25000000,0.00000000,0.00000000,1.00000000,0.00000000,0.12972660,0.08330286,0.61197054,0.17500000,-0.05559711,-0.03570122,0.16629834,-0.07500000
2020-04-01,2020-03-31,factor_pit_ext2026,7fbab5049f660466080843c7e1936ce86fefff9afb8fca40d9aa8850e10a11ee,pit,True,0.05873939,True,True,0.53851648,-0.21747233,-0.53468045,3.25834982,3.30908158,-0.20000000,-0.40000000,0.80000000,-0.50000000,-0.60000000,3.69000000,3.47325167,0.94126061,0.94126061,0.00000000,bl_blend_applied,,2020-04-01,0.00000000,-1.19000000,-1.07000000,0.81000000,0.62000000,-1.12010013,-1.00714886,0.76242110,0.58358158,-0.00239362,-0.00215225,0.00162927,0.00124710,0.17829986,0.10940325,0.46229690,0.25000000,0.00000000,0.00000000,0.99999998,0.00000002,0.12480990,0.07658227,0.62360782,0.17500001,-0.05348996,-0.03282097,0.16131093,-0.07499999
2020-05-01,2020-04-30,factor_pit_ext2026,5ff102d36dfd7da3b8556d1726c747ca4bd51237da59ae28eb1e05180832cbdc,pit,True,0.05213506,True,True,0.66633325,-1.73809160,-0.57293306,2.22060803,2.87755360,-0.80000000,-0.40000000,0.90000000,-0.50000000,-0.60000000,2.77000000,2.62558588,0.94786494,0.94786494,0.00000000,bl_blend_applied,,2020-05-01,0.00000000,-1.09000000,-0.78000000,0.40000000,0.50000000,-1.03317278,-0.73933465,0.37914598,0.47393247,-0.00273189,-0.00195493,0.00100253,0.00125316,0.17363078,0.10949978,0.46686944,0.25000000,0.00000029,0.00000059,0.00000218,0.99999694,0.12154163,0.07665002,0.32680926,0.47499908,-0.05208915,-0.03284976,-0.14006018,0.22499908
2020-06-01,2020-05-31,factor_pit_ext2026,4581d94f64622b12a04d25fe04e742de2199b979b07b7cb8cbd89856216b44ab,pit,True,0.68579960,True,True,0.64807407,-1.90160882,-0.43883389,1.35373628,2.37514067,-0.80000000,-0.70000000,0.60000000,0.50000000,-0.60000000,4.53000000,1.42332783,0.31420040,0.31420040,0.00000000,bl_blend_applied,,2020-06-01,0.00000000,-1.45000000,-1.37000000,0.41000000,1.30000000,-0.45559059,-0.43045455,0.12882217,0.40846053,-0.00117165,-0.00110701,0.00033129,0.00105045,0.17349211,0.10991181,0.46659608,0.25000000,0.00000002,0.07230350,0.00000001,0.92769647,0.12144448,0.09862932,0.32661726,0.45330894,-0.05204763,-0.01128249,-0.13997882,0.20330894
2020-07-01,2020-06-30,factor_pit_ext2026,107a6cb55804c7b5292b0abfc2584dee953065f55644cce7079fa0daa12d4869,pit,True,0.39264581,True,True,0.71414284,-1.27027504,-0.38904973,1.24538757,1.82097462,-0.90000000,-0.70000000,0.80000000,0.60000000,-0.50000000,4.81000000,2.92137363,0.60735419,0.60735419,0.00000000,bl_blend_applied,,2020-07-01,0.00000000,-1.55000000,-1.42000000,0.43000000,1.41000000,-0.94139899,-0.86244294,0.26116230,0.85636940,-0.00266783,-0.00244408,0.00074011,0.00242687,0.17281850,0.10903659,0.46814491,0.25000000,0.00000000,0.03140914,0.00000000,0.96859086,0.12097295,0.08574835,0.32770144,0.46557726,-0.05184555,-0.02328824,-0.14044347,0.21557726
2020-08-03,2020-07-31,factor_pit_ext2026,3e73658c8b38b8042ef325148a7c4267dbebdf6cd15189a90933f3238aa914b2,pit,True,0.52038850,True,True,0.61644140,-0.94310441,-0.50285879,0.31234484,1.11349548,-0.80000000,-0.70000000,0.40000000,-0.50000000,-0.60000000,2.27000000,1.08871810,0.47961150,0.47961150,0.00000000,bl_blend_applied,,2020-08-03,0.00000000,-0.99000000,-0.73000000,0.17000000,0.38000000,-0.47481538,-0.35011639,0.08153395,0.18225237,-0.00116149,-0.00085645,0.00019945,0.00044583,0.17268698,0.10911750,0.46819551,0.25000000,0.00000006,0.00000076,0.00000056,0.99999863,0.12088090,0.07638248,0.32773703,0.47499959,-0.05180608,-0.03273502,-0.14045849,0.22499959
2020-09-01,2020-08-31,factor_pit_ext2026,318e76bbd6e557709804a99211e13dec415d5c9049ceade0c5a51bd4fd581202,pit,True,0.02525352,True,True,0.32496154,-0.60301568,-0.13551637,0.21904688,0.65572413,-0.60000000,-0.14000000,0.22000000,-0.10000000,-0.30000000,0.67600000,0.65892862,0.97474648,0.97474648,0.00000000,bl_blend_applied,,2020-09-01,0.00000000,-0.28600000,-0.12400000,-0.13000000,0.13600000,-0.27877749,-0.12086856,-0.12671704,0.13256552,-0.00035949,-0.00015586,-0.00016341,0.00017095,0.18272618,0.11547249,0.45180133,0.25000000,0.00000002,0.22021128,0.17652204,0.60326667,0.12790833,0.14689413,0.36921754,0.35598000,-0.05481785,0.03142164,-0.08258379,0.10598000
2020-10-01,2020-09-30,factor_pit_ext2026,9d81c273345fadb1cdb3b3399b0f2aa1cd9aad950852aab5c8d64aa948dfeb5d,pit,True,0.47079164,True,True,0.39749214,-0.50656062,-0.15475020,0.52804694,0.74792035,-0.50000000,-0.30000000,0.50000000,-0.20000000,-0.40000000,1.96000000,1.03724838,0.52920836,0.52920836,0.00000000,bl_blend_applied,,2020-10-01,0.00000000,-0.73000000,-0.57000000,0.25000000,0.41000000,-0.38632210,-0.30164876,0.13230209,0.21697543,-0.00060937,-0.00047581,0.00020869,0.00034225,0.18543961,0.11536994,0.44919045,0.25000000,0.00000000,0.13961182,0.57200802,0.28838015,0.12980773,0.12264250,0.48603572,0.26151405,-0.05563188,0.00727256,0.03684527,0.01151405
2020-11-02,2020-10-31,factor_pit_ext2026,43aa6a6bb16d7a96b65185b1d7406df523ccc360b813f794883c4b158d82fbfe,pit,True,0.49792686,True,True,0.48579831,-0.80162130,0.34923096,0.47051338,0.99294603,-0.80000000,0.30000000,0.50000000,0.20000000,-0.40000000,0.64000000,0.32132681,0.50207314,0.50207314,0.00000000,bl_blend_applied,,2020-11-02,0.00000000,-0.16000000,0.01000000,-0.19000000,0.28000000,-0.08033170,0.00502073,-0.09539390,0.14058048,-0.00015486,0.00000968,-0.00018390,0.00027101,0.18606109,0.11509066,0.44884825,0.25000000,0.00000001,0.30200400,0.11129877,0.58669723,0.13024277,0.17116466,0.34758341,0.35100917,-0.05581832,0.05607400,-0.10126485,0.10100917
2020-12-01,2020-11-30,factor_pit_ext2026,e538eb3b97db7c44601035144fb36fe20d843d37889e0066f1d63656cd5cef7f,pit,True,0.61382488,True,True,0.48579831,-0.92959420,0.22140791,-0.24877642,0.98744951,-0.80000000,0.40000000,-0.20000000,0.30000000,0.50000000,4.10000000,1.58331798,0.38617512,0.38617512,0.00000000,bl_blend_applied,,2020-12-01,0.00000000,1.01000000,1.27000000,-1.16000000,-0.66000000,0.39003687,0.49044240,-0.44796314,-0.25487558,0.00075190,0.00094546,-0.00086357,-0.00049134,0.19172184,0.11878394,0.43949422,0.25000000,0.99999992,0.00000004,0.00000002,0.00000002,0.43420526,0.08314877,0.30764596,0.17500001,0.24248342,-0.03563517,-0.13184826,-0.07499999
2021-01-04,2020-12-31,factor_pit_ext2026,9ea830a24a123a318fadff37de0ac2087cb4dbed57f75fdd318421cf7256c63b,pit,True,0.01031310,True,True,0.60504545,-0.73784046,0.58135223,-0.58040367,1.10419535,-0.74000000,-0.58000000,0.58000000,-0.50000000,-0.60000000,2.53400000,2.50786661,0.98968690,0.98968690,0.00000000,bl_blend_applied,,2021-01-04,0.00000000,-1.03200000,-0.77200000,0.29600000,0.43400000,-1.02135688,-0.76403829,0.29294732,0.42952412,-0.00245225,-0.00183444,0.00070336,0.00103128,0.19197426,0.11895320,0.43907254,0.25000000,0.00000002,0.00000016,0.23123549,0.76876432,0.13438199,0.08326729,0.37672143,0.40562930,-0.05759227,-0.03568591,-0.06235111,0.15562930
2021-02-01,2021-01-31,factor_pit_ext2026,8899da824981571095aa29fbd1c62b6bf67eb96a99146902e54666127f9442cd,pit,True,0.37683716,True,True,0.54954527,-0.65781323,1.16361158,-0.57427030,1.45481838,-0.60000000,-0.50000000,-0.50000000,0.70000000,-0.40000000,1.81000000,1.12792475,0.62316284,0.62316284,0.00000000,bl_blend_applied,,2021-02-01,0.00000000,-0.37000000,-0.46000000,-0.36000000,0.62000000,-0.23057025,-0.28665491,-0.22433862,0.38636096,-0.00050281,-0.00062512,-0.00048922,0.00084255,0.19703310,0.12127345,0.43169346,0.25000000,0.00000033,0.00000066,0.00000118,0.99999782,0.13792327,0.08489161,0.30218577,0.47499935,-0.05910983,-0.03638184,-0.12950768,0.22499935
2021-03-01,2021-02-28,factor_pit_ext2026,195c7f36d2fef4876c391d5c4c0d1fc12be08660a8a0cb3463ebef9ae278455f,pit,True,0.87337078,True,True,0.56035703,-0.20869573,1.94967055,-0.78277997,2.11128246,-0.20000000,0.40000000,-0.80000000,0.80000000,-0.30000000,1.81000000,0.22919888,0.12662922,0.12662922,0.00000000,bl_blend_applied,,2021-03-01,0.00000000,0.68000000,0.44000000,-0.65000000,0.04000000,0.08610787,0.05571686,-0.08230899,0.00506517,0.00019147,0.00012389,-0.00018303,0.00001126,0.20060487,0.12236155,0.42703359,0.25000000,0.40021379,0.15058369,0.34143681,0.10776570,0.26048754,0.13082819,0.40135455,0.20732971,0.05988268,0.00846664,-0.02567903,-0.04267029
2021-04-01,2021-03-31,factor_pit_ext2026,4eeb91d4cb06b5335c1f4b91048400cfa7eeaed17aee955342a7e3fe7d86eb9e,pit,True,0.03272645,True,True,0.68410526,1.38016819,2.57591131,-0.94665584,3.07186272,0.90000000,0.70000000,-0.60000000,0.80000000,-0.20000000,1.02000000,0.98661902,0.96727355,0.96727355,-0.00000000,bl_blend_applied,,2021-04-01,0.00000000,0.55000000,0.02000000,0.20000000,0.25000000,0.53200045,0.01934547,0.19345471,0.24181839,0.00144422,0.00005252,0.00052517,0.00065647,0.20100967,0.12295302,0.42603731,0.25000000,0.00000011,0.47411976,0.27763415,0.24824598,0.14070680,0.22830304,0.38151636,0.24947379,-0.06030287,0.10535002,-0.04452095,-0.00052621
2021-05-03,2021-04-30,factor_pit_ext2026,9f5db4dfa7bdab37ca51c0b51f0f7aa3803ff4c7f057ba2882eb2f2a5bb681b1,pit,True,0.03412558,True,True,0.71414284,3.35818608,2.24470475,-0.98927689,4.15869954,0.90000000,-0.70000000,0.80000000,0.60000000,-0.50000000,8.41000000,8.12300385,0.96587442,0.96587442,-0.00000000,non_trading_rebalance_date,rebalance_date_not_in_price_calendar,2021-04-01,,-2.09000000,-2.50000000,1.87000000,1.95000000,-2.01867753,-2.41468604,1.80618516,1.88345511,-0.00572073,-0.00684298,0.00511855,0.00533752,0.20087442,0.12287029,0.42625530,0.25000000,,,,,0.14070680,0.22830304,0.38151636,0.24947379,-0.06016762,0.10543276,-0.04473893,-0.00052621
2021-06-01,2021-05-31,factor_pit_ext2026,ed45889e05648390e8752afc67526b6b9e982353b0586b33c4d46f70244f51b9,pit,True,0.06227431,True,True,0.66633325,3.86550412,2.03554438,-0.90497392,4.46145053,0.90000000,-0.40000000,0.50000000,0.80000000,-0.60000000,7.26000000,6.80788849,0.93772569,0.93772569,0.00000000,bl_blend_applied,,2021-06-01,0.00000000,-1.67000000,-2.17000000,1.61000000,1.81000000,-1.56600190,-2.03486474,1.50973836,1.69728349,-0.00414079,-0.00538055,0.00399202,0.00448792,0.20044113,0.12293949,0.42661938,0.25000000,0.00000008,0.00000016,0.00001195,0.99998781,0.14030881,0.08605769,0.29863715,0.47499634,-0.06013231,-0.03688180,-0.12798223,0.22499634
2021-07-01,2021-06-30,factor_pit_ext2026,a8483fd4dc0ce0a9a1a1c99fbff3c4e55691b0926c78cf2e5e76b61c12119b1d,pit,True,0.44179813,True,True,0.64342832,3.75162317,1.41028483,-1.15192486,4.17019311,0.90000000,-0.50000000,0.40000000,0.60000000,-0.70000000,7.19000000,4.01347143,0.55820187,0.55820187,0.00000000,bl_blend_applied,,2021-07-01,0.00000000,-1.69000000,-2.18000000,1.61000000,1.71000000,-0.94336116,-1.21688007,0.89870501,0.95452519,-0.00240867,-0.00310704,0.00229465,0.00243718,0.20326413,0.12467989,0.42205598,0.25000000,0.00000000,0.00000004,0.27490023,0.72509973,0.14228489,0.08727593,0.37790926,0.39252992,-0.06097924,-0.03740396,-0.04414673,0.14252992
2021-08-02,2021-07-31,factor_pit_ext2026,ac0fca6d1cf867c348b7e3e9fb2b170a62e0908f8825767acfd5c00254ad0f2d,pit,True,0.07386986,True,True,0.67527772,3.30244489,1.02470863,-0.85921319,3.56292259,0.90000000,0.50000000,-0.70000000,0.80000000,-0.30000000,1.19000000,1.10209487,0.92613014,0.92613014,0.00000000,bl_blend_applied,,2021-08-02,0.00000000,0.37000000,-0.19000000,0.26000000,0.37000000,0.34266815,-0.17596473,0.24079384,0.34266815,0.00091824,-0.00047153,0.00064525,0.00091824,0.20318053,0.12461970,0.42219977,0.25000000,0.00000011,0.45437006,0.54558640,0.00004343,0.14222641,0.22354480,0.45921576,0.17501303,-0.06095413,0.09892511,0.03701599,-0.07498697
2021-09-01,2021-08-31,factor_pit_ext2026,c006bf0acbee87b3dd6d3fd83bd1f723f055fe6aba3fd201a2e4b2347b9586f5,pit,True,0.02407182,True,True,0.60000000,2.92307346,1.12212301,-0.93235303,3.26692526,0.90000000,0.50000000,-0.40000000,0.70000000,0.30000000,0.92000000,0.89785392,0.97592818,0.97592818,0.00000000,bl_blend_applied,,2021-09-01,0.00000000,0.52000000,0.13000000,0.16000000,0.11000000,0.50748265,0.12687066,0.15614851,0.10735210,0.00120829,0.00030207,0.00037178,0.00025560,0.20458965,0.12549295,0.41991740,0.25000000,0.13286964,0.48746358,0.37966674,0.00000003,0.18307365,0.23408414,0.40784220,0.17500001,-0.02151600,0.10859119,-0.01207520,-0.07499999
2021-10-01,2021-09-30,factor_pit_ext2026,fb8682444ae0b64191ea76ff182c244253c8edb4753c0ec403f058d4cc44715d,pit,True,0.48361196,True,True,0.71414284,2.84305380,1.41978928,-0.95737385,3.31893374,0.90000000,-0.70000000,0.80000000,0.60000000,-0.50000000,8.41000000,4.34282342,0.51638804,0.51638804,-0.00000000,bl_blend_applied,,2021-10-01,0.00000000,-2.09000000,-2.50000000,1.87000000,1.95000000,-1.07925100,-1.29097010,0.96564563,1.00695668,-0.00305849,-0.00365848,0.00273654,0.00285361,0.20737718,0.12690228,0.41572054,0.25000000,0.00000000,0.00000005,0.00000023,0.99999972,0.14516403,0.08883161,0.29100445,0.47499991,-0.06221315,-0.03807067,-0.12471609,0.22499991
