date;parse_ok;segment;variant;inflation;growth;credit_stress;policy;risk_appetite
2022-06-01;True;replayed_v1;pit;0,90000000;0,20000000;0,80000000;0,50000000;-0,70000000
2022-07-01;True;replayed_v1;pit;0,90000000;-0,80000000;0,70000000;0,20000000;-0,60000000
2022-08-01;True;replayed_v1;pit;0,95000000;-0,40000000;0,70000000;0,80000000;-0,60000000
2022-09-01;True;replayed_v1;pit;0,90000000;-0,90000000;0,90000000;-0,80000000;-0,70000000
2022-10-03;True;replayed_v1;pit;0,90000000;0,60000000;0,80000000;0,70000000;-0,50000000
2022-11-01;True;replayed_v1;pit;0,90000000;0,30000000;-0,80000000;0,50000000;-0,20000000
2022-12-01;True;replayed_v1;pit;1,00000000;0,20000000;1,00000000;-0,50000000;-0,80000000
2023-01-03;True;replayed_v1;pit;0,60000000;-0,70000000;0,80000000;0,50000000;-0,70000000
2023-02-01;True;replayed_v1;pit;0,92000000;0,12000000;0,85000000;0,78000000;-0,65000000
2023-03-01;True;replayed_v1;pit;0,80000000;-0,20000000;0,50000000;0,40000000;-0,60000000
2023-04-03;True;replayed_v1;pit;0,40000000;-0,40000000;0,30000000;-0,80000000;-0,60000000
2023-05-01;True;replayed_v1;pit;0,40000000;-0,30000000;0,30000000;0,80000000;-0,40000000
2023-06-01;True;replayed_v1;pit;0,10000000;-0,50000000;0,80000000;-0,30000000;-0,60000000
2023-07-03;True;replayed_v1;pit;-0,30000000;-0,80000000;-0,40000000;-0,20000000;-0,50000000
2023-08-01;True;replayed_v1;pit;-0,20000000;-0,80000000;-0,50000000;-0,30000000;-0,70000000
2023-09-01;True;replayed_v1;pit;0,00000000;-0,80000000;-0,40000000;0,80000000;0,60000000
2023-10-02;True;replayed_v1;pit;-0,10000000;-0,50000000;-0,30000000;-0,60000000;-0,40000000
2023-11-01;True;replayed_v1;pit;-0,30000000;-0,40000000;0,70000000;0,40000000;-0,50000000
2023-12-01;True;replayed_v1;pit;-0,30000000;0,40000000;-0,50000000;0,70000000;0,60000000
2024-01-02;True;replayed_v1;pit;-0,25000000;-0,80000000;-0,89000000;-0,50000000;-0,70000000
2024-02-01;True;replayed_v1;pit;-0,30000000;-0,70000000;-0,60000000;-0,50000000;-0,40000000
2024-03-01;False;replayed_v1;pit;;;;;
2024-04-01;True;replayed_v1;pit;-0,20000000;-0,80000000;-0,70000000;-0,50000000;-0,30000000
2024-05-01;True;replayed_v1;pit;-0,28000000;-0,50000000;0,20000000;-0,80000000;0,40000000
2024-06-03;True;replayed_v1;pit;-0,34000000;-0,83000000;-0,97000000;-0,50000000;-0,60000000
2024-07-01;True;replayed_v1;pit;-0,45000000;-0,86000000;-0,94000000;-0,77000000;-0,73000000
2024-08-01;True;replayed_v1;pit;-0,48000000;0,30000000;-0,89000000;-0,54000000;-0,60000000
2024-09-02;True;replayed_v1;pit;-0,62000000;-0,25000000;-0,94000000;-0,25000000;0,50000000
2024-10-01;True;replayed_v1;pit;-0,60000000;-0,50000000;-0,40000000;-0,20000000;-0,50000000
2024-11-01;True;replayed_v1;pit;-0,60000000;0,30000000;-0,70000000;-0,10000000;0,40000000
2024-12-02;True;replayed_v1;pit;-0,60000000;-0,80000000;-0,70000000;-0,20000000;-0,50000000
2025-01-02;True;live_ext2026;pit;-0,50000000;0,40000000;-0,70000000;0,30000000;0,00000000
2025-02-03;True;live_ext2026;pit;-0,50000000;0,00000000;-0,50000000;0,30000000;-0,40000000
2025-03-03;True;live_ext2026;pit;-0,57000000;0,40000000;-0,40000000;0,10000000;-0,10000000
2025-04-01;True;live_ext2026;pit;-0,80000000;0,50000000;-0,60000000;-0,50000000;0,40000000
2025-05-01;True;live_ext2026;pit;-0,80000000;0,00000000;0,30000000;0,60000000;-0,50000000
2025-06-02;True;live_ext2026;pit;-0,80000000;-0,20000000;-0,70000000;0,50000000;0,20000000
2025-07-01;True;live_ext2026;pit;-0,70000000;0,60000000;-0,80000000;0,50000000;0,30000000
2025-08-01;True;live_ext2026;pit;-0,70000000;0,40000000;-0,80000000;0,20000000;0,60000000
2025-09-01;True;live_ext2026;pit;-0,64000000;0,85000000;-0,85000000;0,65000000;0,30000000
2025-10-01;True;live_ext2026;pit;-0,60000000;-0,40000000;-0,80000000;0,50000000;-0,30000000
2025-11-03;True;live_ext2026;pit;-0,62000000;0,75000000;0,57000000;-0,30000000;0,80000000
2025-12-01;True;live_ext2026;pit;-0,70000000;0,30000000;-0,80000000;0,50000000;-0,40000000
2026-01-02;True;live_ext2026;pit;-0,70000000;0,80000000;-0,80000000;0,70000000;-0,50000000
2026-02-02;True;live_ext2026;pit;-0,80000000;0,60000000;-0,90000000;0,70000000;0,50000000
2026-03-02;True;live_ext2026;pit;-0,80000000;0,60000000;0,70000000;0,50000000;0,00000000
2026-04-01;True;live_ext2026;pit;-0,60000000;0,45000000;0,08000000;0,60000000;-0,60000000
2026-05-01;True;live_ext2026;pit;-0,60000000;0,50000000;-0,50000000;0,60000000;0,40000000
2026-06-01;True;live_ext2026;pit;-0,60000000;-0,15000000;-0,45000000;0,60000000;-0,50000000
