draw,rebalance_date,macro_source_date,temperature,max_tokens,parse_ok,inflation,growth,credit_stress,policy,risk_appetite,latency_s,error,reply_text
27,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.7,0.5,-0.5,5.95,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.7, ""policy"": 0.5, ""risk_appetite"": -0.5}"
5,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,0.7,-0.6,13.53,,"```json
{
  ""inflation"": 0.8,
  ""growth"": 0.4,
  ""credit_stress"": 0.9,
  ""policy"": 0.7,
  ""risk_appetite"": -0.6
}
```
"
11,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,0.7,-0.6,13.59,,"```json
{
  ""inflation"": 0.8,
  ""growth"": 0.4,
  ""credit_stress"": 0.9,
  ""policy"": 0.7,
  ""risk_appetite"": -0.6
}
```
"
30,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.7,0.5,-0.5,6.16,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.7, ""policy"": 0.5, ""risk_appetite"": -0.5}"
10,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.4,0.5,-0.7,-0.6,13.86,,"```json
{
  ""inflation"": 0.85,
  ""growth"": -0.4,
  ""credit_stress"": 0.5,
  ""policy"": -0.7,
  ""risk_appetite"": -0.6
}
```
"
31,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.5,0.7,0.0,-0.6,5.82,,"{""inflation"": 0.8, ""growth"": -0.5, ""credit_stress"": 0.7, ""policy"": 0.0, ""risk_appetite"": -0.6}"
25,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.4,0.9,0.7,-0.6,9.07,,"{""inflation"": 0.8, ""growth"": -0.4, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.6}"
32,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.3,0.8,0.7,-0.6,5.68,,"{""inflation"": 0.8, ""growth"": -0.3, ""credit_stress"": 0.8, ""policy"": 0.7, ""risk_appetite"": -0.6}"
17,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.98,0.7,-0.6,17.2,,"{""inflation"": 0.85, ""growth"": 0.4, ""credit_stress"": 0.98, ""policy"": 0.7, ""risk_appetite"": -0.6}"
34,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.9,0.7,-0.7,5.99,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.7}"
28,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.98,-0.98,-0.7,11.82,,"{""inflation"": 0.85, ""growth"": 0.4, ""credit_stress"": 0.98, ""policy"": -0.98, ""risk_appetite"": -0.7}"
4,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.5,0.4,-0.9,-0.7,18.72,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.5,
  ""credit_stress"": 0.4,
  ""policy"": -0.9,
  ""risk_appetite"": -0.7
}
```
"
8,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.5,0.43,-0.98,-0.8,19.28,,"{""inflation"": 0.85, ""growth"": -0.5, ""credit_stress"": 0.43, ""policy"": -0.98, ""risk_appetite"": -0.8}"
35,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,-0.98,0.7,-0.7,7.45,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": -0.98, ""policy"": 0.7, ""risk_appetite"": -0.7}"
18,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.5,0.43,-0.98,-0.8,19.47,,"{""inflation"": 0.85, ""growth"": -0.5, ""credit_stress"": 0.43, ""policy"": -0.98, ""risk_appetite"": -0.8}"
20,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,0.98,0.7,-0.8,19.74,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": 0.98, ""policy"": 0.7, ""risk_appetite"": -0.8}"
37,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.2,0.9,0.7,-0.6,6.68,,"{""inflation"": 0.8, ""growth"": -0.2, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.6}"
13,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.5,0.43,-0.98,-0.8,20.42,,"{""inflation"": 0.85, ""growth"": -0.5, ""credit_stress"": 0.43, ""policy"": -0.98, ""risk_appetite"": -0.8}"
2,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.5,0.43,-0.98,-0.8,20.5,,"{""inflation"": 0.85, ""growth"": -0.5, ""credit_stress"": 0.43, ""policy"": -0.98, ""risk_appetite"": -0.8}"
36,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.3,0.7,0.6,-0.5,7.83,,"{""inflation"": 0.8, ""growth"": 0.3, ""credit_stress"": 0.7, ""policy"": 0.6, ""risk_appetite"": -0.5}"
22,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.2,0.98,-0.7,-0.6,21.25,,"{""inflation"": 0.85, ""growth"": -0.2, ""credit_stress"": 0.98, ""policy"": -0.7, ""risk_appetite"": -0.6}"
43,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.98,0.6,-0.5,5.42,,"```json
{
  ""inflation"": 0.85,
  ""growth"": 0.40,
  ""credit_stress"": 0.98,
  ""policy"": 0.60,
  ""risk_appetite"": -0.50
}
```"
51,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.4,0.6,-0.8,-0.7,3.76,,"{""inflation"": 0.85, ""growth"": -0.4, ""credit_stress"": 0.6, ""policy"": -0.8, ""risk_appetite"": -0.7}"
55,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.3,0.9,-0.7,-0.6,3.46,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.3,
  ""credit_stress"": 0.9,
  ""policy"": -0.7,
  ""risk_appetite"": -0.6
}
```
"
49,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.9,0.6,-0.8,5.53,,"{""inflation"": 0.85, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": 0.6, ""risk_appetite"": -0.8}"
38,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,0.3,-0.7,11.98,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": 0.3, ""risk_appetite"": -0.7}"
40,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.7,0.5,-0.6,11.76,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.7, ""policy"": 0.5, ""risk_appetite"": -0.6}"
45,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.3,0.98,0.3,-0.6,8.4,,"{""inflation"": 0.85, ""growth"": -0.3, ""credit_stress"": 0.98, ""policy"": 0.3, ""risk_appetite"": -0.6}"
47,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.3,0.98,0.3,-0.6,8.48,,"{""inflation"": 0.85, ""growth"": -0.3, ""credit_stress"": 0.98, ""policy"": 0.3, ""risk_appetite"": -0.6}"
50,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.3,0.98,0.3,-0.6,7.7,,"{""inflation"": 0.85, ""growth"": -0.3, ""credit_stress"": 0.98, ""policy"": 0.3, ""risk_appetite"": -0.6}"
57,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.9,0.4,-0.8,-0.7,6.57,,"{""inflation"": 0.8, ""growth"": -0.9, ""credit_stress"": 0.4, ""policy"": -0.8, ""risk_appetite"": -0.7}"
60,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.3,0.9,0.7,-0.6,3.99,,"{""inflation"": 0.8, ""growth"": -0.3, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.6}"
29,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,0.7,-0.6,22.27,,"```json
{
  ""inflation"": 0.8,
  ""growth"": 0.4,
  ""credit_stress"": 0.9,
  ""policy"": 0.7,
  ""risk_appetite"": -0.6
}
```"
39,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,0.98,0.7,-0.8,17.12,,"```json
{
  ""inflation"": 0.85,
  ""growth"": 0.43,
  ""credit_stress"": 0.98,
  ""policy"": 0.70,
  ""risk_appetite"": -0.80
}
```
"
44,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.8,0.6,-0.7,14.58,,"{""inflation"": 0.85, ""growth"": -0.7, ""credit_stress"": 0.8, ""policy"": 0.6, ""risk_appetite"": -0.7}"
56,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,-0.8,-0.7,11.29,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": -0.8, ""risk_appetite"": -0.7}"
12,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,0.98,0.98,-0.7,33.81,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": 0.98, ""policy"": 0.98, ""risk_appetite"": -0.7}"
6,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,0.98,0.98,-0.7,33.99,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": 0.98, ""policy"": 0.98, ""risk_appetite"": -0.7}"
63,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.4,0.5,-0.7,-0.6,8.46,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.4,
  ""credit_stress"": 0.5,
  ""policy"": -0.7,
  ""risk_appetite"": -0.6
}
```
"
65,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.4,0.5,-0.7,-0.6,7.54,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.4,
  ""credit_stress"": 0.5,
  ""policy"": -0.7,
  ""risk_appetite"": -0.6
}
```
"
48,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,0.7,-0.8,16.56,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.8}"
70,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,-0.9,-0.6,-0.7,4.86,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": -0.9, ""policy"": -0.6, ""risk_appetite"": -0.7}"
69,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.75,0.9,0.7,-0.6,6.95,,"{""inflation"": 0.85, ""growth"": -0.75, ""credit_stress"": 0.90, ""policy"": 0.70, ""risk_appetite"": -0.60}"
33,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,-0.7,-0.8,26.5,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": -0.7, ""risk_appetite"": -0.8}"
54,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.4,0.7,0.6,-0.5,17.45,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.4,
  ""credit_stress"": 0.7,
  ""policy"": 0.6,
  ""risk_appetite"": -0.5
}
```
"
46,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.3,0.9,0.8,-0.7,19.83,,"```json
{
  ""inflation"": 0.85,
  ""growth"": 0.30,
  ""credit_stress"": 0.90,
  ""policy"": 0.80,
  ""risk_appetite"": -0.70
}
```
"
68,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,-0.9,-0.7,-0.3,9.88,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": -0.9, ""policy"": -0.7, ""risk_appetite"": -0.3}"
72,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.9,0.7,-0.4,5.49,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.4}"
41,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,0.7,-0.6,24.95,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.6}"
74,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.4,0.9,0.7,-0.6,5.87,,"```json
{
  ""inflation"": 0.85,
  ""growth"": -0.40,
  ""credit_stress"": 0.90,
  ""policy"": 0.70,
  ""risk_appetite"": -0.60
}
```
"
77,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,-0.3,-0.6,4.35,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": -0.3, ""risk_appetite"": -0.6}"
52,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.8,-0.7,-0.8,20.93,,"{""inflation"": 0.85, ""growth"": 0.4, ""credit_stress"": 0.8, ""policy"": -0.7, ""risk_appetite"": -0.8}"
59,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.8,0.7,-0.8,17.51,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.8, ""policy"": 0.7, ""risk_appetite"": -0.8}"
62,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.9,0.6,0.7,-0.7,16.6,,"{""inflation"": 0.8, ""growth"": -0.9, ""credit_stress"": 0.6, ""policy"": 0.7, ""risk_appetite"": -0.7}"
78,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.98,-0.5,-0.7,4.81,,"```json
{
  ""inflation"": 0.85,
  ""growth"": 0.40,
  ""credit_stress"": 0.98,
  ""policy"": -0.50,
  ""risk_appetite"": -0.70
}
```
"
61,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.95,0.7,-0.8,17.5,,"{""inflation"": 0.85, ""growth"": 0.4, ""credit_stress"": 0.95, ""policy"": 0.7, ""risk_appetite"": -0.8}"
67,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.8,0.43,-0.3,-0.7,15.29,,"```json
{
  ""inflation"": 0.85,
  ""growth"": -0.8,
  ""credit_stress"": 0.43,
  ""policy"": -0.3,
  ""risk_appetite"": -0.7
}
```"
53,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.9,0.7,-0.8,24.35,,"```json
{
  ""inflation"": 0.8,
  ""growth"": -0.6,
  ""credit_stress"": 0.9,
  ""policy"": 0.7,
  ""risk_appetite"": -0.8
}
```"
81,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,0.9,-0.7,-0.5,6.83,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": 0.9, ""policy"": -0.7, ""risk_appetite"": -0.5}"
79,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.8,0.6,-0.9,7.53,,"```json
{
  ""inflation"": 0.85,
  ""growth"": -0.70,
  ""credit_stress"": 0.80,
  ""policy"": 0.60,
  ""risk_appetite"": -0.90
}
```"
42,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.4,0.8,0.5,-0.6,33.03,,"{""inflation"": 0.85, ""growth"": -0.4, ""credit_stress"": 0.8, ""policy"": 0.5, ""risk_appetite"": -0.6}"
71,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.6,-0.6,-0.7,15.64,,"{""inflation"": 0.85, ""growth"": -0.7, ""credit_stress"": 0.6, ""policy"": -0.6, ""risk_appetite"": -0.7}"
95,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.9,0.5,-0.7,4.42,,"```json
{
  ""inflation"": 0.85,
  ""growth"": 0.4,
  ""credit_stress"": 0.9,
  ""policy"": 0.5,
  ""risk_appetite"": -0.7
}
```
"
92,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.95,0.6,-0.7,5.7,,"{""inflation"": 0.85, ""growth"": 0.4, ""credit_stress"": 0.95, ""policy"": 0.6, ""risk_appetite"": -0.7}"
58,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,0.98,0.5,-0.8,26.85,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": 0.98, ""policy"": 0.5, ""risk_appetite"": -0.8}"
86,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.6,0.5,-0.6,9.46,,"{""inflation"": 0.85, ""growth"": -0.7, ""credit_stress"": 0.6, ""policy"": 0.5, ""risk_appetite"": -0.6}"
85,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.8,0.9,0.5,-0.8,10.46,,"```json
{
  ""inflation"": 0.85,
  ""growth"": -0.8,
  ""credit_stress"": 0.9,
  ""policy"": 0.5,
  ""risk_appetite"": -0.8
}
```
"
73,2020-03-02,2020-02-29,0.0,2048,True,0.9,-0.7,0.8,0.6,-0.8,18.44,,"{""inflation"": 0.90, ""growth"": -0.70, ""credit_stress"": 0.80, ""policy"": 0.60, ""risk_appetite"": -0.80}"
94,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.5,0.98,0.5,-0.8,9.49,,"{""inflation"": 0.85, ""growth"": 0.5, ""credit_stress"": 0.98, ""policy"": 0.5, ""risk_appetite"": -0.8}"
90,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.9,0.4,-0.8,-0.7,13.83,,"{""inflation"": 0.8, ""growth"": -0.9, ""credit_stress"": 0.4, ""policy"": -0.8, ""risk_appetite"": -0.7}"
75,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.95,0.6,-0.7,22.21,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.95, ""policy"": 0.6, ""risk_appetite"": -0.7}"
88,2020-03-02,2020-02-29,0.0,2048,True,0.9,0.4,0.95,0.7,-0.6,15.69,,"```json
{
  ""inflation"": 0.90,
  ""growth"": 0.40,
  ""credit_stress"": 0.95,
  ""policy"": 0.70,
  ""risk_appetite"": -0.60
}
```
"
84,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.6,0.4,-0.7,-0.5,17.85,,"{""inflation"": 0.8, ""growth"": -0.6, ""credit_stress"": 0.4, ""policy"": -0.7, ""risk_appetite"": -0.5}"
66,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,-0.98,0.4,-0.7,29.44,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": -0.98, ""policy"": 0.4, ""risk_appetite"": -0.7}"
26,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.98,0.98,-0.5,-0.8,54.12,,"```json
{
  ""inflation"": 0.85,
  ""growth"": -0.98,
  ""credit_stress"": 0.98,
  ""policy"": -0.5,
  ""risk_appetite"": -0.8
}
```
"
89,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.4,0.7,0.2,-0.5,18.08,,"{""inflation"": 0.8, ""growth"": -0.4, ""credit_stress"": 0.7, ""policy"": 0.2, ""risk_appetite"": -0.5}"
87,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.98,0.6,-0.8,19.62,,"{""inflation"": 0.85, ""growth"": 0.4, ""credit_stress"": 0.98, ""policy"": 0.6, ""risk_appetite"": -0.8}"
83,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.7,0.8,-0.6,22.4,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.7, ""policy"": 0.8, ""risk_appetite"": -0.6}"
91,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,0.98,0.6,-0.8,19.52,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": 0.98, ""policy"": 0.6, ""risk_appetite"": -0.8}"
64,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.7,0.6,-0.6,-0.7,35.83,,"{""inflation"": 0.85, ""growth"": -0.7, ""credit_stress"": 0.6, ""policy"": -0.6, ""risk_appetite"": -0.7}"
76,2020-03-02,2020-02-29,0.0,2048,True,0.85,-0.98,0.43,0.6,-0.7,28.85,,"{""inflation"": 0.85, ""growth"": -0.98, ""credit_stress"": 0.43, ""policy"": 0.6, ""risk_appetite"": -0.7}"
80,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.4,0.8,0.7,-0.6,32.55,,"{""inflation"":0.8,""growth"":-0.4,""credit_stress"":0.8,""policy"":0.7,""risk_appetite"":-0.6}"
93,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,-0.98,-0.98,-0.8,26.34,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": -0.98, ""policy"": -0.98, ""risk_appetite"": -0.8}"
82,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,-0.98,-0.8,-0.7,46.53,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": -0.98, ""policy"": -0.8, ""risk_appetite"": -0.7}"
